"","X__1","Census","Estimates Base","2010","2011","2012","2013","2014","2015","2016"
"39",".North Carolina",9535483,9535688,9558915,9650963,9746175,9841590,9934399,10035186,10146788
"40",".North Dakota",672591,672591,674526,685476,702087,724019,739904,756835,757952
"41",".Ohio",11536504,11536727,11540983,11544824,11550839,11570022,11594408,11605090,11614373
"42",".Oklahoma",3751351,3751615,3759603,3786274,3817054,3852415,3877499,3907414,3923561
"43",".Oregon",3831074,3831072,3838048,3868031,3899116,3925751,3968371,4024634,4093465
"44",".Pennsylvania",12702379,12702857,12712343,12744293,12771854,12781338,12790565,12791904,12784227
"45",".Rhode Island",1052567,1052940,1053337,1052451,1052901,1053033,1054480,1055607,1056426
"46",".South Carolina",4625364,4625410,4635943,4672637,4720760,4767894,4828430,4894834,4961119
"47",".South Dakota",814180,814195,816325,824398,834441,844922,852561,857919,865454
"48",".Tennessee",6346105,6346298,6356671,6397634,6454306,6494821,6544663,6595056,6651194
"49",".Texas",25145561,25146100,25244310,25646389,26071655,26473525,26944751,27429639,27862596
"50",".Utah",2763885,2763888,2775326,2816124,2855782,2902663,2941836,2990632,3051217
"51",".Vermont",625741,625741,625982,626730,626444,627140,626984,626088,624594
"52",".Virginia",8001024,8001041,8025773,8110035,8192048,8262692,8317372,8367587,8411808
"53",".Washington",6724540,6724545,6743226,6822520,6895226,6968006,7054196,7160290,7288000
"54",".West Virginia",1852994,1853011,1854230,1854972,1856560,1853231,1848514,1841053,1831102
"55",".Wisconsin",5686986,5687289,5690263,5709640,5726177,5742854,5758377,5767891,5778708
"56",".Wyoming",563626,563767,564513,567725,576765,582684,583642,586555,585501
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Puerto Rico",3725789,3726157,3721525,3678732,3634488,3593077,3534874,3473181,3411307
"59","Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. See Geographic Terms and Definitions at http://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region.  All geographic boundaries for the 2016 population estimates series except statistical area delineations are as of January 1, 2016.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Suggested Citation:",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2016 (NST-EST2016-01)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Source: U.S. Census Bureau, Population Division",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Release Date: December 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
